#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu109	0	0	0	0	0	0	3	0	0	109	0	0	0	0	54	0	2	0	0	67	0	0
Zotu384	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0
Zotu132	0	0	0	0	0	0	1	0	0	2	0	0	0	0	98	0	0	0	0	0	0	0
Zotu298	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0
Zotu166	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	90	0	0	0	0
Zotu277	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu302	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu345	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu288	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu394	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Zotu316	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu370	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu281	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu371	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu266	0	0	0	0	0	0	0	8	4	0	0	0	13	8	0	2	0	10	0	0	0	0
Zotu234	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	36	0	0	0
Zotu43	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	959
Zotu253	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu349	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu264	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	3	0	0	0	0	0
